,speed (m/s),speed difference (m/s),distance (m)
276,3.83,1.5599999999999996,11.81632365310257
788,4.654,2.1660000000000004,11.873737396810222
789,5.478,2.792,13.397297790772647
790,6.3020000000000005,3.3179999999999987,16.385160433430237
791,7.126,3.434,20.43573372319365
277,7.95,3.3600000000000003,25.295444854782524
278,8.6,3.110000000000001,28.646861357394467
279,9.18,3.115000000000002,32.13425820441558
280,9.78,3.1000000000000014,34.98762277795273
792,10.28,3.09,37.830745134092886
281,10.78,2.735000000000001,41.10838263749177
793,11.125,2.535,43.23878464445644
794,11.469999999999999,2.110000000000001,45.399230614490364
795,11.815,1.795,47.46575103267344
282,12.16,1.3000000000000007,49.36976781343277
283,12.4,0.7000000000000011,50.21305458030689
284,12.58,0.16000000000000014,50.856202082829604
285,12.61,0.009999999999999787,51.02481483696013
286,12.75,0.054999999999999716,51.187633639210766
287,12.64,0.34999999999999964,51.3519103068105
796,12.58,0.4299999999999997,51.83093254703554
288,12.52,0.5150000000000006,52.35900821862788
797,12.719999999999999,0.34000000000000163,52.766318210466856
289,12.92,0.25,53.1829548586788
290,13.23,-0.07000000000000028,53.205013400904775
798,13.435,-0.28500000000000014,52.45463310032804
799,13.64,-0.6799999999999997,51.66149780643113
800,13.845,-1.125,50.69437648169758
291,14.05,-1.8800000000000008,49.30675128965052
292,13.83,-2.7249999999999996,46.50303011870993
801,13.58,-3.540000000000001,44.235042785402186
802,13.33,-4.66,40.19789512442572
803,13.08,-5.735,33.85940025496289
293,12.83,-6.8100000000000005,27.527635503746144
294,11.84,-6.359999999999999,20.868962622261122
295,9.87,-3.6049999999999986,16.15390542100814
296,7.98,-0.9300000000000006,13.523620748794146
804,7.73,0.40000000000000036,13.646253778334401
297,7.48,1.8249999999999993,15.48326416931007
805,8.135,2.3450000000000006,16.700648791971368
298,8.79,2.1800000000000015,19.35842822333389
806,9.523333333333333,1.7316666666666656,20.7135149767026
807,10.256666666666666,1.2833333333333332,22.068773162673963
299,10.99,0.4499999999999993,23.659021647118024
300,11.7,-0.4949999999999992,23.53162151927439
808,11.853333333333333,-0.8833333333333329,22.653519247944697
809,12.006666666666666,-1.0766666666666662,21.443116618679934
301,12.16,-1.0650000000000013,20.348104526246125
302,12.0,-0.7400000000000002,19.341473611225414
810,11.92,-0.02999999999999936,19.193889741490786
811,11.84,0.35999999999999943,19.73560070312778
812,11.76,0.75,20.277314845987036
303,11.68,1.2800000000000011,21.28777978736021
304,11.58,1.6450000000000014,22.927123837292083
813,11.535,1.955,24.741321746681237
305,11.49,2.289999999999999,26.995595964693663
814,11.9,1.58,28.721194648950085
306,12.31,0.8699999999999992,30.448959808123
815,12.745000000000001,0.15499999999999936,30.694440486885863
307,13.18,-0.5549999999999997,30.4562736154332
816,13.11,-0.7599999999999998,29.80784076983198
817,13.040000000000001,-0.9500000000000011,28.799751291674717
308,12.97,-0.8900000000000006,27.522477652587114
309,13.06,-0.9900000000000002,26.467676799773376
310,13.59,-0.9800000000000004,25.464651696837535
818,13.713333333333333,-0.4783333333333335,24.662924187201156
819,13.836666666666668,0.02333333333333165,23.86126506682454
311,13.96,0.4499999999999993,24.013995038958754
