,speed (m/s),speed difference (m/s),distance (m)
136,9.06,-1.2600000000000007,21.488685379149356
137,8.09,0.41999999999999993,21.11992312034022
138,7.54,2.04,22.51278094550506
139,7.41,3.289999999999999,25.326553505808686
140,8.16,3.6400000000000006,28.89549454686791
141,9.12,3.67,32.61540826499922
142,10.08,3.5700000000000003,36.240079292845344
143,11.01,3.42,39.756603100743796
144,11.93,3.26,43.10485385661949
145,12.92,3.0500000000000007,46.26815915768796
146,13.86,2.6799999999999997,49.14479261918539
147,14.94,2.0000000000000018,51.48123591795109
148,15.66,1.3599999999999994,53.16563716609657
149,16.35,0.75,54.13890127203945
150,16.84,0.03999999999999915,54.37701081034416
151,17.2,-0.5599999999999987,54.02822371558871
152,17.35,-1.0200000000000031,53.215375391590975
153,17.41,-1.3200000000000003,52.024440147898545
154,17.46,-1.4900000000000002,50.577893695127244
155,17.29,-1.379999999999999,49.15140053169377
156,17.17,-1.3100000000000023,47.80611543848763
157,16.97,-1.2799999999999994,46.53553336466808
158,16.76,-1.450000000000001,45.18091657065158
159,16.5,-1.8800000000000008,43.5409963862777
160,16.22,-2.619999999999999,41.26903563127033
161,15.79,-3.25,38.33558672676743
162,14.87,-3.379999999999999,34.95699740134592
163,13.88,-3.3400000000000016,31.621843195228575
164,12.75,-3.0199999999999996,28.43587858482407
165,11.63,-2.610000000000001,25.613119788534696
166,10.48,-2.0600000000000005,23.30358884386402
167,9.4,-1.4100000000000001,21.62809177870197
168,8.41,-0.8500000000000005,20.507368305057707
169,7.56,-0.34999999999999964,19.93934086185535
170,6.93,0.20999999999999996,19.88599247289086
171,6.48,1.0299999999999994,20.526279164694156
172,6.21,1.8199999999999994,21.971896030864823
173,6.23,2.6099999999999994,24.251873045296712
174,6.83,2.8599999999999994,26.98613506977957
175,7.74,2.629999999999999,29.756787520882394
176,8.67,2.2699999999999996,32.17897558595367
177,9.57,1.6199999999999992,34.09586523072798
178,10.39,1.0099999999999998,35.3565149467482
179,10.98,0.5999999999999996,36.13032080072114
180,11.46,0.3199999999999985,36.54101159221221
181,11.87,-0.03999999999999915,36.62720167326314
182,12.12,-0.34999999999999964,36.40732382346146
183,12.24,-0.41999999999999993,35.99677603176528
184,12.29,-0.15999999999999837,35.658760768817636
185,12.23,0.5099999999999998,35.83539840984703
186,12.28,1.0,36.64094688628413
187,12.51,1.0500000000000007,37.720474663345726
188,12.91,0.6600000000000001,38.582165878471635
189,13.27,0.16000000000000014,39.01189417242767
190,13.54,-0.379999999999999,38.86738177020396
191,13.68,-0.8200000000000003,38.22007576672363
192,13.66,-1.1600000000000001,37.177865494361235
193,13.47,-1.2599999999999998,35.93156287357874
194,13.15,-1.2800000000000011,34.6369284257621
195,12.86,-1.2699999999999996,33.368204412767724
196,12.52,-1.17,32.146148339430155
197,12.22,-1.2200000000000006,30.928346457428795
198,11.9,-1.0500000000000007,29.815523845189666
199,11.55,-0.7700000000000014,28.88194543337758
200,11.27,-0.4299999999999997,28.284679050205977
201,10.97,0.03999999999999915,28.104138193006943
202,10.67,0.5600000000000005,28.426944018299654
203,10.46,1.0199999999999996,29.241054296193393
204,10.42,1.25,30.413858167220152
205,10.58,1.3000000000000007,31.732114519905526
206,10.94,1.040000000000001,32.937460999039
207,11.21,0.6899999999999995,33.8036863487482
208,11.55,0.3099999999999987,34.23718384122365
209,11.74,0.02999999999999936,34.27022123098754
210,11.82,-0.2400000000000002,34.12472406266664
211,11.78,-0.379999999999999,33.820979276220825
212,11.69,-0.47999999999999865,33.4137215201793
213,11.58,-0.5999999999999996,32.872172157343435
214,11.43,-0.6500000000000004,32.29399699248131
215,11.2,-0.6099999999999994,31.701676956065356
