,speed (m/s),speed difference (m/s),distance (m)
50,23.51,-1.9000000000000021,66.17113492718157
51,23.63,-1.4299999999999997,64.50395788613758
52,23.89,-1.0199999999999996,63.256530390349035
53,24.14,-0.6400000000000006,62.4219389774115
54,24.48,-0.379999999999999,61.94902846151613
55,24.86,-0.23000000000000043,61.64111530632604
56,25.21,-0.15000000000000213,61.43125367228871
57,25.68,-0.25,61.18479019720437
58,26.1,-0.33000000000000185,60.86543045650889
59,26.45,-0.5,60.393028369945235
60,26.86,-0.8599999999999994,59.600423471365076
61,27.13,-1.1600000000000001,58.52134094296473
62,27.3,-1.3599999999999994,57.18423238667407
63,27.38,-1.5,55.67899427144152
64,27.32,-1.4800000000000004,54.15139464491983
65,27.06,-1.2799999999999976,52.762004568258035
66,26.84,-1.0700000000000003,51.554308648255486
67,26.56,-0.8200000000000003,50.59117708042486
68,26.34,-0.6000000000000014,49.86138922668143
69,26.23,-0.4800000000000004,49.30503361704193
70,26.02,-0.23000000000000043,48.95865940748862
71,25.96,-0.2699999999999996,48.71831467961067
72,25.85,-0.3100000000000023,48.448311785449604
73,25.65,-0.4499999999999993,48.02465891568017
74,25.71,-0.9400000000000013,47.259099950858065
75,25.56,-1.1999999999999993,46.20073665274665
76,25.43,-1.4800000000000004,44.84709371432056
77,25.04,-1.4800000000000004,43.36795758536942
78,24.64,-1.5300000000000011,41.88095361659897
79,24.22,-1.6400000000000006,40.331472175386466
80,23.77,-1.6999999999999993,38.67854246329559
81,23.28,-2.0199999999999996,36.85890203702052
82,22.8,-2.6700000000000017,34.48538582698898
83,21.91,-2.9899999999999984,31.578366119059176
84,20.55,-2.6999999999999993,28.774345738885803
85,19.19,-2.120000000000001,26.42955915785401
86,17.91,-1.4200000000000017,24.71187971514133
87,16.75,-0.6499999999999986,23.740795144328047
88,15.85,0.2400000000000002,23.61484967580219
89,15.27,1.0899999999999999,24.377147097383652
90,14.85,2.0900000000000016,26.066573440146772
91,14.71,2.8599999999999994,28.642891513123043
92,15.06,3.130000000000001,31.67842953292858
93,15.85,3.0999999999999996,34.747621965248186
94,16.7,3.0700000000000003,37.811738134036915
95,17.7,2.870000000000001,40.730378957408924
96,18.75,2.5599999999999987,43.40511398493602
97,19.74,2.2200000000000024,45.79342517391202
98,20.68,1.8099999999999987,47.73940491837527
99,21.52,1.3500000000000014,49.24059320552008
100,22.37,0.9399999999999977,50.355600716441636
101,22.98,0.5999999999999979,51.09019236750235
102,23.51,0.14999999999999858,51.41153244092747
103,23.94,-0.240000000000002,51.29404796817594
104,24.24,-0.5799999999999983,50.80603760294856
105,24.47,-0.8299999999999983,50.02582093238553
106,24.53,-0.9400000000000013,49.116654949133526
107,24.52,-0.8900000000000006,48.20728103724646
108,24.43,-0.6799999999999997,47.405646097305905
109,24.36,-0.5300000000000011,46.738451236683744
110,24.3,-0.4700000000000024,46.18520441626811
111,24.2,-0.46999999999999886,45.68097354020212
112,24.13,-0.5299999999999976,45.14897959357444
113,23.98,-0.46999999999999886,44.63375654853581
114,23.74,-0.29999999999999716,44.292346207878616
115,23.5,-0.10000000000000142,44.08974893888509
116,23.39,0.05000000000000071,44.08577189019761
117,23.33,0.39000000000000057,44.33852964684639
118,23.32,0.75,44.97958954221584
119,23.41,1.1600000000000001,45.97334992240516
120,23.75,1.379999999999999,47.300546886734196
121,24.15,1.4200000000000017,48.6894969165097
122,24.77,1.0800000000000018,49.90824272707517
123,25.37,0.5700000000000003,50.66537540325301
124,25.85,0.03999999999999915,50.90584964453472
125,26.17,-0.38000000000000256,50.68012739381792
126,26.22,-0.5700000000000003,50.205166012156184
127,26.15,-0.5899999999999999,49.65080870185798
