,follower_speed,spacing,speed_diff
214071,8.633636364,12.864361850866654,1.6763636360000014
214072,8.718888889,13.03910118194602,1.7688888909999996
214073,8.794545454,13.22263053166601,1.8581818159999999
214074,8.864444444,13.415135008964741,1.9477777760000008
214075,8.941818182,13.616361075199508,2.028181818
214076,9.023333333,13.825004111892607,2.1055555570000006
214077,9.122727272999999,14.041680723279082,2.1590909069999995
214078,9.22,14.263461469078345,2.2144444399999994
214079,9.330909091,14.49040212242727,2.253636359
214080,9.454444444,14.720130890071905,2.272222226
214081,9.577272727,14.951383856157925,2.294545453
214082,9.683333333,15.185161742691355,2.334444446999999
214083,9.801818182,15.420438521060907,2.349090908000001
214084,9.915555555,15.656832625340336,2.3677777750000004
214085,10.03545455,15.89602743089117,2.39545454
214086,10.15222222,16.137815959749947,2.44222222
214087,10.26727273,16.384188429168383,2.4754545399999994
214088,10.38,16.633403495017554,2.51222222
214089,10.49636364,16.88515375565705,2.5363636300000003
214090,10.61555556,17.139278439729818,2.5577777699999995
214091,10.72454545,17.39518629601428,2.58
214092,10.83,17.653824261895327,2.60777778
214093,10.93454545,17.914054922742594,2.630000000000001
214094,11.04424691,18.176635866915763,2.6457530899999995
214095,11.16090909,18.44070309906977,2.65272727
214096,11.27777778,18.706493644023745,2.65888889
214097,11.38181818,18.97312381906027,2.672727270000001
214098,11.49,19.240572278664047,2.68333333
214099,11.59909091,19.50998900456893,2.6918181800000003
214100,11.71,19.779882936662982,2.6988888899999988
214101,11.82090909,20.05235815953178,2.7036363599999986
214102,11.93666667,20.32530733422982,2.701111110000001
214103,12.05545455,20.59892781645037,2.6972727199999986
214104,12.17444444,20.8717914961818,2.6888888899999994
214105,12.29818182,21.143600330847253,2.6709090900000003
214106,12.42444444,21.411759375768007,2.64555556
214107,12.55,21.67698527301631,2.6254545499999993
214108,12.67888889,21.939970806296266,2.59333333
214109,12.80727273,22.20019129587032,2.5645454500000007
214110,12.93222222,22.456784460405196,2.526666670000001
214111,13.05909091,22.709237703962017,2.48909091
214112,13.18444444,22.95728313971932,2.447777779999999
214113,13.31,23.2005663931625,2.4063636400000004
214114,13.43777778,23.44033802523521,2.364444440000001
214115,13.56181818,23.676890912816038,2.32272727
214116,13.68888889,23.90935386744279,2.2833333300000014
214117,13.81454545,24.136156600468478,2.2472727299999993
214118,13.94,24.35948461531921,2.209999999999999
214119,14.06636364,24.57849967625462,2.17
214120,14.19333333,24.7926425793525,2.1244444500000004
214121,14.31818182,25.001618826564016,2.0709090900000007
214122,14.44111111,25.204799821904306,2.0188888900000013
214123,14.57,25.401692288396212,1.9563636399999995
214124,14.69333333,25.59307958851344,1.9000000000000004
214125,14.82181818,25.779273372828552,1.840909090000002
214126,14.94888889,25.960234409903077,1.7800000000000011
214127,15.07636364,26.13444773537265,1.7181818100000008
214128,15.20888889,26.302468168202573,1.6522222199999987
214129,15.33818182,26.464436769967488,1.5863636299999992
214130,15.47,26.619651627905192,1.5166666700000009
214131,15.60090909,26.76781038506989,1.4436363600000008
214132,15.72777778,26.91032851564209,1.3722222200000012
214133,15.85181818,27.044783827439154,1.3018181799999995
214134,15.98,27.17194077306348,1.221111109999999
214135,16.09909091,27.29181214100193,1.1499999999999986
214136,16.21444444,27.40487673107992,1.0877777799999997
214137,16.32454545,27.51262840476818,1.0281818200000004
214138,16.44222222,27.613390367152466,0.955555559999997
214139,16.57909091,27.706894768805146,0.8672727299999998
214140,16.71888889,27.791507148978308,0.77555555
214141,16.85363636,27.866116985182373,0.6872727300000001
214142,16.98111111,27.93335824934104,0.6133333299999997
214143,17.10181818,27.99199274121932,0.5409090900000031
214144,17.21666667,28.04340619504573,0.4700000000000024
214145,17.32636364,28.087929966242328,0.4072727199999981
214146,17.43333333,28.126162579714205,0.3455555600000011
214147,17.54,28.158828397211785,0.2790909100000007
214148,17.64333333,28.18499336650148,0.2188888899999987
214149,17.74363636,28.20521144947921,0.1600000000000001
214150,17.84111111,28.218940880011967,0.1011111100000015
214151,17.93636364,28.22689249250985,0.0463636300000018
214152,18.02555556,28.229171799443694,-0.0077777800000014
214153,18.11454545,28.225681055519143,-0.0581818100000006
214154,18.20111111,28.217344288013038,-0.1077777799999992
214155,18.28454545,28.20351881709764,-0.1572727199999981
214156,18.37777778,28.184886406667843,-0.2199999999999988
214157,18.46363636,28.159354884648927,-0.2718181800000003
214158,18.55111111,28.128367758516717,-0.3311111100000019
214159,18.63636364,28.092391259653397,-0.3827272799999974
214160,18.71777778,28.051762433043322,-0.4344444499999973
214161,18.79363636,28.005681781330885,-0.4781818100000023
214162,18.86888889,27.95468148870279,-0.5244444500000007
214163,18.94,27.89888106804721,-0.5645454500000007
214164,19.01,27.83947544223084,-0.6044444400000017
214165,19.07727273,27.77629918998389,-0.642727279999999
214166,19.13555556,27.710325464908234,-0.6711111199999991
214167,19.19363636,27.640348248753728,-0.7018181800000001
214168,19.25888889,27.567650965479988,-0.7388888900000019
214169,19.31909091,27.490996802388892,-0.7663636400000016
214170,19.37666667,27.41046977555504,-0.797777779999997
214171,19.43636364,27.32782631709929,-0.8336363700000007
214172,19.49666667,27.240939505151125,-0.8644444500000006
214173,19.54909091,27.15170937548552,-0.8909090900000011
214174,19.6,27.059542217897324,-0.9188888900000016
214175,19.64818182,26.965191748774,-0.94363637
214176,19.69333333,26.868396855764345,-0.9688888900000024
214177,19.73636364,26.768683392415944,-0.99181819
214178,19.77888889,26.66702665990077,-1.0155555600000028
214179,19.81454545,26.56332394713965,-1.0290909
214180,19.84888889,26.45853082699573,-1.0455555600000004
